MW-NIFTY-50-10-Apr-2024
S.NO.,"SYMBOL 
"
0,APOLLOHOSP
1,HINDALCO
2,ICICIBANK
3,INFY
4,BAJAJFINSV
5,EICHERMOT
6,GRASIM
7,TATASTEEL
8,M&M
9,AXISBANK
10,NESTLEIND
11,ADANIPORTS
12,HCLTECH
13,BAJFINANCE
14,SUNPHARMA
15,MARUTI
16,BHARTIARTL
17,DIVISLAB
18,LTIM
19,HDFCLIFE
20,HINDUNILVR
21,NTPC
22,HDFCBANK
23,DRREDDY
24,KOTAKBANK
25,POWERGRID
26,JSWSTEEL
27,SBIN
28,BAJAJ-AUTO
29,ONGC
30,TATAMOTORS
31,ITC
32,TCS
33,ADANIENT
34,BRITANNIA
35,LT
36,WIPRO
37,TECHM
38,CIPLA
39,SBILIFE
40,ULTRACEMCO
41,SHRIRAMFIN
42,TATACONSUM
43,INDUSINDBK
44,BPCL
45,ASIANPAINT
46,RELIANCE
47,COALINDIA
48,HEROMOTOCO
49,TITAN
