MW-NIFTY-50-10Apr-2024
"SYMBOL 
","Price 
","VOLUME 
(shares)",52W H,52W L,30 D   %CHNG,365 D % CHNG 
APOLLOHOSP,"6,505.10","5,92,624","6,874.45","4,187.30",4.28,50.11
HINDALCO,588.60,"78,29,711",620.50,397.80,7.47,42.33
ICICIBANK,"1,107.70","1,22,98,463","1,115.25",864.40,-0.07,24.25
INFY,"1,497.25","94,23,230","1,733.00","1,185.30",-8.65,3.85
BAJAJFINSV,"1,708.00","12,84,145","1,741.00","1,295.65",6.72,29.54
EICHERMOT,"4,251.00","9,70,657","4,303.45","2,951.15",11.11,42.00
GRASIM,"2,300.00","3,88,155","2,323.75","1,655.70",2.37,36.65
TATASTEEL,166.05,"6,38,84,687",169.80,104.05,5.06,58.31
M&M,"2,087.00","28,53,137","2,098.65","1,171.25",9.51,77.43
AXISBANK,"1,079.95","1,13,85,226","1,151.85",843.95,-3.19,26.30
NESTLEIND,"2,506.80","4,33,941","2,769.30","1,936.50",-2.46,-87.32
ADANIPORTS,"1,353.00","19,35,801","1,424.95",643.00,1.75,110.20
HCLTECH,"1,543.00","24,32,095","1,697.35","1,016.25",-5.96,41.05
BAJFINANCE,"7,189.00","7,10,281","8,192.00","5,786.00",11.80,21.01
SUNPHARMA,"1,600.50","13,89,391","1,638.85",922.45,-0.37,58.06
MARUTI,"12,868.25","3,14,466","12,985.70","8,403.05",11.77,51.06
BHARTIARTL,"1,204.60","33,72,798","1,245.00",752.55,0.42,57.28
DIVISLAB,"3,795.65","2,75,295","4,074.40","2,901.20",5.40,29.94
LTIM,"4,893.00","3,30,892","6,442.00","4,132.20",-4.40,2.60
HDFCLIFE,633.90,"28,73,703",710.60,509.55,2.03,23.31
HINDUNILVR,"2,266.15","11,89,343","2,769.65","2,232.00",-6.22,-11.55
NTPC,363.00,"1,00,10,148",366.90,166.80,3.21,107.48
HDFCBANK,"1,544.40","1,09,42,247","1,757.50","1,363.55",6.95,-7.19
DRREDDY,"6,163.00","1,28,724","6,505.90","4,384.05",-2.37,31.39
KOTAKBANK,"1,785.00","23,73,231","2,064.40","1,667.40",2.31,1.78
POWERGRID,281.00,"57,80,865",298.90,168.75,-3.72,25.08
JSWSTEEL,873.00,"25,12,308",895.75,681.05,5.60,28.38
SBIN,765.05,"74,65,892",793.40,524.40,-2.51,45.61
BAJAJ-AUTO,"8,990.00","2,37,944","9,357.95","4,030.10",1.71,123.88
ONGC,269.15,"1,31,73,933",284.95,150.00,-2.77,79.55
TATAMOTORS,"1,008.00","85,39,041","1,065.60",452.00,-2.51,131.51
ITC,426.60,"67,08,894",499.70,384.75,3.76,10.78
TCS,"3,948.75","18,76,992","4,254.75","3,070.25",-3.31,23.34
ADANIENT,"3,202.60","8,33,679","3,350.00","1,760.60",-0.06,83.83
BRITANNIA,"4,793.00","1,80,114","5,386.05","4,222.55",-1.28,12.26
LT,"3,781.00","19,97,057","3,860.00","2,168.50",3.56,67.43
WIPRO,476.20,"79,00,625",545.90,352.00,-6.91,30.89
TECHM,"1,254.90","11,98,161","1,416.30",981.05,-1.79,15.78
CIPLA,"1,449.00","12,25,255","1,519.00",894.20,-1.40,63.70
SBILIFE,"1,504.70","7,18,575","1,569.40","1,090.60",0.56,36.06
ULTRACEMCO,"9,770.00","2,75,924","10,526.00","7,300.00",1.97,28.07
SHRIRAMFIN,"2,543.05","9,53,375","2,605.65","1,277.00",4.88,97.05
TATACONSUM,"1,125.60","11,84,800","1,269.00",696.45,-9.85,55.69
INDUSINDBK,"1,551.70","11,76,425","1,694.50","1,007.95",0.29,44.95
BPCL,585.40,"45,44,926",687.95,330.30,-5.24,78.30
ASIANPAINT,"2,857.00","10,17,670","3,568.00","2,750.05",0.75,2.92
RELIANCE,"2,931.90","35,35,707","3,024.90","2,220.30",0.48,26.93
COALINDIA,440.60,"80,05,012",487.60,221.15,-2.44,101.80
HEROMOTOCO,"4,522.00","9,45,922","4,949.05","2,417.15",-1.24,89.38
TITAN,"3,682.30","7,45,285","3,886.95","2,559.25",-1.00,47.11
